Weekly Summary;;;;;;;;;
Day;Date;;KiloCalories;Fat;Carbohydrate;Protein;Salt;Fibre;Activity
Friday;2026-01-16;;2695;64;300;71;5;31;14m bike
Saturday;2026-01-17;;3550;148;300;125;3;62;60m powertraining
Sunday;2026-01-18;;2249;77;328;90;1;71;46m run 11.4km/h
Monday;2026-01-19;;2016;105;201;87;1;64;55m powertraining
Tuesday;2026-01-20;;1866;54;361;87;2;52;53m run 11.4km/h
Wednesday;2026-01-21;;2039;50;364;103;3;57;60m powertraining
Thursday;2026-01-22;;1942;71;334;94;3;52;53m run 11.4km/h
;;Daily Average:;2337;81;313;94;2;56;
;;Adjusted For Underreporting(110%):;2571;90;344;103;3;61;
;;Calculated weight diff:;-0.03;;;;;;
;;Real weight diff on scale:;1.3;;;;;;
Detailed List;;;;;;;;;
Name;Date;Quantity;KiloCalories;Fat;Carbohydrate;Protein;Salt;Fibre;Hour
Friday;;;;;;;;;
banaan;2026-01-16;1x;105;0;27;1;0;3;7
banitsa;2026-01-16;1x;330;22;25;10;2;15;11
americano;2026-01-16;1x;602;30;49;31;3;6;12
jupiler;2026-01-16;1x;105;0;9;0;0;0;17
jupiler;2026-01-16;1x;105;0;9;0;0;0;17
jupiler;2026-01-16;1x;105;0;9;0;0;0;17
jupiler;2026-01-16;1x;105;0;9;0;0;0;18
jupiler;2026-01-16;1x;105;0;9;0;0;0;18
jupiler;2026-01-16;1x;105;0;9;0;0;0;18
jupiler;2026-01-16;1x;105;0;9;0;0;0;19
jupiler;2026-01-16;1x;105;0;9;0;0;0;19
jupiler;2026-01-16;1x;105;0;9;0;0;0;20
jupiler;2026-01-16;1x;105;0;9;0;0;0;20
groenedruiven;2026-01-16;500;345;1;90;4;0;5;20
mandarijn;2026-01-16;1x;50;0;13;1;0;2;21
notenmix;2026-01-16;15;93;9;3;2;0;1;22
whey-v;2026-01-16;30;120;1;3;23;0;0;22
Saturday;;;;;;;;;
banaan;2026-01-17;1x;105;0;27;1;0;3;9
notenmix;2026-01-17;50;311;29;9;8;0;4;9
mango;2026-01-17;1x;135;1;35;1;0;4;11
avocado;2026-01-17;1x;320;30;17;4;0;13;12
whey-v;2026-01-17;60;240;2;7;46;0;0;13
appel;2026-01-17;1x;95;0;25;1;0;4;14
kiwi;2026-01-17;1x;42;0;10;1;0;2;16
appel;2026-01-17;1x;95;0;25;1;0;4;17
kikkererwten;2026-01-17;265;371;7;47;21;0;19;19
jupiler;2026-01-17;1x;105;0;9;0;0;0;20
orval;2026-01-17;1x;171;0;13;3;0;0;21
orval;2026-01-17;1x;171;0;13;3;0;0;21
duvel;2026-01-17;1x;211;0;12;0;0;0;22
borrelhapjes;2026-01-17;1x;410;34;2;23;3;0;22
delirium;2026-01-17;1x;208;0;12;0;0;0;23
notenmix;2026-01-17;75;467;44;14;12;0;6;1
mandarijn;2026-01-17;1x;50;0;13;1;0;2;1
icetea;2026-01-17;1x;43;0;10;0;0;0;1
Sunday;;;;;;;;;
banaan;2026-01-18;1x;105;0;27;1;0;3;7
peer;2026-01-18;1x;100;0;27;1;0;6;9
avocado;2026-01-18;1x;320;30;17;4;0;13;11
whey-v;2026-01-18;60;240;2;7;46;0;0;13
mango;2026-01-18;1x;135;1;35;1;0;4;15
mandarijn;2026-01-18;1x;50;0;13;1;0;2;16
appel;2026-01-18;1x;95;0;25;1;0;4;17
notenmix;2026-01-18;60;373;35;11;10;0;5;18
kikkererwten;2026-01-18;265;371;7;47;21;0;19;18
mandarijn;2026-01-18;1x;50;0;13;1;0;2;18
banaan;2026-01-18;1x;105;0;27;1;0;3;19
appel;2026-01-18;1x;95;0;25;1;0;4;20
banaan;2026-01-18;1x;105;0;27;1;0;3;20
banaan;2026-01-18;1x;105;0;27;1;0;3;21
Monday;;;;;;;;;
banaan;2026-01-19;1x;105;0;27;1;0;3;8
avocado;2026-01-19;1x;320;30;17;4;0;13;12
appel;2026-01-19;1x;57;0;15;0;0;3;16
whey-v;2026-01-19;60;240;2;7;46;0;0;17
notenmix;2026-01-19;60;373;35;11;10;0;5;19
kikkererwten;2026-01-19;265;371;7;47;21;0;19;19
avocado;2026-01-19;1x;320;30;17;4;0;13;20
mango;2026-01-19;1x;135;1;35;1;0;4;21
appel;2026-01-19;1x;95;0;25;1;0;4;22
Tuesday;;;;;;;;;
banaan;2026-01-20;1x;105;0;27;1;0;3;8
banaan;2026-01-20;1x;105;0;27;1;0;3;10
avocado;2026-01-20;1x;320;30;17;4;0;13;12
wortelsoep_1;2026-01-20;1x;99;1;60;5;1;1;13
appel;2026-01-20;1x;95;0;25;1;0;4;16
whey-v;2026-01-20;60;240;2;7;46;0;0;17
suiker;2026-01-20;14;56;0;14;0;0;0;17
kikkererwten;2026-01-20;220;308;6;39;17;0;16;19
zalm;2026-01-20;120;;;;;;;19
wortelsoep_1;2026-01-20;1x;99;1;60;5;1;1;19
banaan;2026-01-20;1x;105;0;27;1;0;3;20
banaan;2026-01-20;1x;105;0;27;1;0;3;21
notenmix;2026-01-20;20;124;12;4;3;0;2;21
banaan;2026-01-20;1x;105;0;27;1;0;3;22
Wednesday;;;;;;;;;
banaan;2026-01-21;1x;105;0;27;1;0;3;8
notenmix;2026-01-21;15;93;9;3;2;0;1;8
wortelsoep_1;2026-01-21;1x;99;1;60;5;1;1;12
avocado;2026-01-21;1x;320;30;17;4;0;13;12
