Weekly Summary;;;;;;;;;
Day;Date;;KiloCalories;Fat;Carbohydrate;Protein;Salt;Fibre;Activity
Friday;2026-06-26;;2873;46;197;103;0;74;
Saturday;2026-06-27;;2421;16;327;189;1;121;
Sunday;2026-06-28;;2133;16;265;154;0;118;
Monday;2026-06-29;;2083;16;265;153;0;118;26m run 11.6km/h
Tuesday;2026-06-30;;1994;15;265;151;0;117;37m run 11.6km/h
Wednesday;2026-07-01;;1994;15;265;151;0;117;60m powertraining
Thursday;2026-07-02;;1994;15;265;151;0;117;
;;Daily Average:;2213;20;264;151;0;112;
;;Adjusted For Underreporting(110%):;2434;22;290;166;0;123;
;;Calculated weight diff:;-0.15;;;;;;
;;Weight Diff:;0.600000000000009;;;;;;
Detailed List;;;;;;;;;
Name;Date;Quantity;KiloCalories;Fat;Carbohydrate;Protein;Salt;Fibre;Hour
Friday;;;;;;;;;
woda;2026-06-26;30;66;0;0;0;0;0;10
woda;2026-06-26;30;66;0;0;0;0;0;11
woda;2026-06-26;30;66;0;0;0;0;0;11
rode_bonen;2026-06-26;250;255;2;38;21;0;17;12
woda;2026-06-26;30;66;0;0;0;0;0;12
woda;2026-06-26;30;66;0;0;0;0;0;15
rode_bonen;2026-06-26;250;255;2;38;21;0;17;15
woda;2026-06-26;30;66;0;0;0;0;0;16
woda;2026-06-26;30;66;0;0;0;0;0;17
notenmix;2026-06-26;60;373;35;11;10;0;5;17
rode_bonen;2026-06-26;250;255;2;38;21;0;17;18
woda;2026-06-26;30;66;0;0;0;0;0;18
rode_bonen;2026-06-26;250;255;2;38;21;0;17;19
rijstkoek;2026-06-26;7.7;30;0;0;1;0;0;19
delirium;2026-06-26;1x;208;0;12;0;0;0;20
rijstkoek;2026-06-26;30.8;119;1;0;2;0;1;20
jupiler_33cl;2026-06-26;1x;143;0;10;1;0;0;21
rijstkoek;2026-06-26;46.2;179;1;0;4;0;1;21
duvel;2026-06-26;1x;211;0;12;0;0;0;22
rijstkoek;2026-06-26;15.4;60;0;0;1;0;0;22
Saturday;;;;;;;;;
rode_bonen;2026-06-27;250;255;2;38;21;0;17;12
rijstkoek;2026-06-27;7.7;30;0;0;1;0;0;12
rode_bonen;2026-06-27;250;255;2;38;21;0;17;15
rijstkoek;2026-06-27;7.7;30;0;0;1;0;0;15
rode_bonen;2026-06-27;250;255;2;38;21;0;17;17
rijstkoek;2026-06-27;7.7;30;0;0;1;0;0;17
rode_bonen;2026-06-27;250;255;2;38;21;0;17;19
rijstkoek;2026-06-27;7.7;30;0;0;1;0;0;19
rode_bonen;2026-06-27;250;255;2;38;21;0;17;20
rijstkoek;2026-06-27;7.7;30;0;0;1;0;0;20
rode_bonen;2026-06-27;500;510;4;76;42;0;33;21
rijstkoek;2026-06-27;15.4;60;0;0;1;0;0;21
proteine;2026-06-27;50;188;1;2;38;0;4;22
suiker;2026-06-27;60;240;0;60;0;0;0;22
Sunday;;;;;;;;;
rode_bonen;2026-06-28;250;255;2;38;21;0;17;11
rijstkoek;2026-06-28;7.7;30;0;0;1;0;0;11
rode_bonen;2026-06-28;250;255;2;38;21;0;17;13
rijstkoek;2026-06-28;7.7;30;0;0;1;0;0;13
rode_bonen;2026-06-28;250;255;2;38;21;0;17;15
rijstkoek;2026-06-28;7.7;30;0;0;1;0;0;15
rode_bonen;2026-06-28;250;255;2;38;21;0;17;17
rijstkoek;2026-06-28;7.7;30;0;0;1;0;0;17
rode_bonen;2026-06-28;250;255;2;38;21;0;17;19
rijstkoek;2026-06-28;7.7;30;0;0;1;0;0;19
rode_bonen;2026-06-28;500;500;4;76;42;0;33;21
rijstkoek;2026-06-28;15.4;60;0;0;1;0;0;21
rijstkoek;2026-06-28;38.5;149;1;0;3;0;1;22
Monday;;;;;;;;;
rode_bonen;2026-06-29;250;255;2;38;21;0;17;12
rijstkoek;2026-06-29;7.7;30;0;0;1;0;0;12
rode_bonen;2026-06-29;250;255;2;38;21;0;17;14
rijstkoek;2026-06-29;7.7;30;0;0;1;0;0;14
rode_bonen;2026-06-29;250;255;2;38;21;0;17;16
rijstkoek;2026-06-29;7.7;30;0;0;1;0;0;16
rode_bonen;2026-06-29;250;255;2;38;21;0;17;18
rijstkoek;2026-06-29;7.7;30;0;0;1;0;0;18
rode_bonen;2026-06-29;250;255;2;38;21;0;17;19
rijstkoek;2026-06-29;7.7;30;0;0;1;0;0;19
rode_bonen;2026-06-29;250;255;2;38;21;0;17;20
rijstkoek;2026-06-29;7.7;30;0;0;1;0;0;20
rode_bonen;2026-06-29;250;255;2;38;21;0;17;21
rijstkoek;2026-06-29;30.8;119;1;0;2;0;1;21
Tuesday;;;;;;;;; 
rode_bonen;2026-06-30;250;255;2;38;21;0;17;12
rijstkoek;2026-06-30;7.7;30;0;0;1;0;0;12
rode_bonen;2026-06-30;250;255;2;38;21;0;17;14
rijstkoek;2026-06-30;7.7;30;0;0;1;0;0;14
rode_bonen;2026-06-30;250;255;2;38;21;0;17;16
rijstkoek;2026-06-30;7.7;30;0;0;1;0;0;16
rode_bonen;2026-06-30;250;255;2;38;21;0;17;18
rijstkoek;2026-06-30;7.7;30;0;0;1;0;0;18
rode_bonen;2026-06-30;250;255;2;38;21;0;17;19
rijstkoek;2026-06-30;7.7;30;0;0;1;0;0;19
rode_bonen;2026-06-30;250;255;2;38;21;0;17;20
rijstkoek;2026-06-30;7.7;30;0;0;1;0;0;20
rode_bonen;2026-06-30;250;255;2;38;21;0;17;21
rijstkoek;2026-06-30;7.7;30;0;0;1;0;0;21
Wednesday;;;;;;;;; 
rode_bonen;2026-07-01;250;255;2;38;21;0;17;12
rijstkoek;2026-07-01;7.7;30;0;0;1;0;0;12
