Weekly Summary;;;;;;;;;
Day;Date;;KiloCalories;Fat;Carbohydrate;Protein;Salt;Fibre;Activity
Friday;2026-05-01;;2521;69;288;72;3;26;55m powertraining
Saturday;2026-05-02;;2596;164;233;98;7;40;20m run 11.7km/h
Sunday;2026-05-03;;1362;21;222;81;1;56;60m powertraining
Monday;2026-05-04;;1141;27;110;81;1;37;25m run 11.5 km/h
Tuesday;2026-05-05;;962;16;108;78;1;41;60m powertraining
Wednesday;2026-05-06;;892;6;110;92;0;51;40m run 11.6 km/h
Thursday;2026-05-07;;880;6;110;84;0;50;60m powertraining
;;Daily Average:;1479;44;169;84;2;43;
;;Adjusted For Underreporting(110%):;1627;49;186;92;2;47;
;;Calculated weight diff:;-0.88;;;;;;
;;Weight Diff:;-0.4;;;;;;
Detailed List;;;;;;;;;
Name;Date;Quantity;KiloCalories;Fat;Carbohydrate;Protein;Salt;Fibre;Hour
Friday;;;;;;;;;
provital_sesam_count;2026-05-01;1x;124;8;4;9;0;3;12
banaan;2026-05-01;1x;105;0;27;1;0;3;12
jupiler_25cl;2026-05-01;2x;210;0;16;2;0;0;20
banaan;2026-05-01;3x;315;1;81;4;0;9;20
appel;2026-05-01;1x;95;0;25;1;0;4;20
bbq;2026-05-01;1x;1100;60;95;50;3;6;20
jupiler_33cl;2026-05-01;4x;572;0;40;6;0;0;20
Saturday;;;;;;;;;
pruim_count;2026-05-02;1x;30;0;8;1;0;1;11
provital_sesam_count;2026-05-02;1x;124;8;4;9;0;3;13
banaan;2026-05-02;1x;105;0;27;1;0;3;13
notenmix;2026-05-02;150;934;88;27;25;0;13;15
zwarte_chocolade;2026-05-02;42;236;15;20;19;0;3;16
droge_worst;2026-05-02;150;612;50;5;38;7;1;17
pruim_count;2026-05-02;1x;30;0;8;1;0;1;18
banaan;2026-05-02;1x;105;0;27;1;0;3;19
banaan;2026-05-02;1x;105;0;27;1;0;3;20
banaan;2026-05-02;1x;105;0;27;1;0;3;21
banaan;2026-05-02;2x;210;1;54;3;0;6;22
Sunday;;;;;;;;;
banaan;2026-05-03;1x;105;0;27;1;0;3;12
provital_sesam_count;2026-05-03;1x;124;8;4;9;0;3;12
rode_bonen;2026-05-03;240;245;2;36;20;0;16;16
rode_bonen;2026-05-03;240;245;2;36;20;0;16;19
banaan;2026-05-03;3x;315;1;81;4;0;9;21
provital_sesam_count;2026-05-03;1x;124;8;4;9;0;3;21
pruim_count;2026-05-03;2x;60;0;16;1;0;2;21
groenedruiven;2026-05-03;50;69;0;18;1;0;1;21
proteine;2026-05-03;20;75;0;1;15;0;2;21
Monday;;;;;;;;;
banaan;2026-05-04;1x;105;0;27;1;0;3;12
provital_sesam_count;2026-05-04;2x;248;15;7;18;1;7;12
pruim_count;2026-05-04;1x;30;0;8;1;0;1;15
proteine;2026-05-04;36;135;0;1;27;0;3;17
rode_bonen;2026-05-04;240;245;2;36;20;0;16;19
banaan;2026-05-04;1x;105;0;27;1;0;3;21
provital_sesam_count;2026-05-04;1x;124;8;4;9;0;3;21
rijstkoek;2026-05-04;38.5;149;1;0;3;0;1;21
Tuesday;;;;;;;;;
banaan;2026-05-05;1x;105;0;27;1;0;3;12
provital_sesam_count;2026-05-05;1x;124;8;4;9;0;3;12
rijstkoek;2026-05-05;7.7;30;0;0;1;0;0;12
proteine;2026-05-05;33;124;0;1;25;0;3;17
rode_bonen;2026-05-05;240;245;2;36;20;0;16;19
kikkererwten;2026-05-05;220;308;6;39;17;0;16;21
proteine;2026-05-05;7;26;0;0;5;0;1;21
Wednesday;;;;;;;;;
rode_bonen;2026-05-06;240;245;2;36;20;0;16;12
proteine;2026-05-06;42;158;1;2;32;0;3;17
rode_bonen;2026-05-06;240;245;2;36;20;0;16;19
rode_bonen;2026-05-06;240;245;2;36;20;0;16;21
Thursday;;;;;;;;;
rode_bonen;2026-05-07;240;245;2;36;20;0;16;12
proteine;2026-05-07;31;116;0;1;23;0;2;17
rode_bonen;2026-05-07;240;245;2;36;20;0;16;19
rode_bonen;2026-05-07;240;245;2;36;20;0;16;21
rijstkoek;2026-05-07;7.7;30;0;0;1;0;0;21
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
