Weekly Summary;;;;;;;;;
Day;Date;;KiloCalories;Fat;Carbohydrate;Protein;Salt;Fibre;Activity
Friday;2026-01-02;;1536;86;93;104;1;39;30m run 11.3km/h
Saturday;2026-01-03;;1639;96;77;88;1;25;60m powertraining
Sunday;2026-01-04;;1586;86;105;105;1;42;53m run 11.3km/h
Monday;2026-01-05;;1587;82;120;112;1;32;60m powertraining
Tuesday;2026-01-06;;1552;64;129;120;1;42;53m run 11.3km/h
Wednesday;2026-01-07;;1611;63;172;103;2;52;55m powertraining
Thursday;2026-01-08;;1348;64;127;86;1;35;53m run 11.3km/h
;;Daily Average:;1551;77;118;103;1;38;
;;Adjusted For Underreporting(110%):;1706;85;129;113;1;42;
;;Calculated weight diff:;-0.81;;;;;;
;;Real weight diff on scale:;-0.799999999999997;;;;;;
Detailed List;;;;;;;;;
Name;Date;Quantity;KiloCalories;Fat;Carbohydrate;Protein;Salt;Fibre;Hour
Friday;;;;;;;;;
avocado;2026-01-02;1x;320;30;17;4;0;13;12
wortel;2026-01-02;2x;50;0;12;1;0;3;15
whey-v;2026-01-02;60;240;2;7;46;0;0;17
kikkererwten;2026-01-02;220;308;6;39;17;0;16;19
notenmix;2026-01-02;80;498;47;15;13;0;7;21
whey-v;2026-01-02;30;120;1;3;23;0;0;22
Saturday;;;;;;;;;
ribbekes;2026-01-03;1x;900;60;25;40;1;5;14
kikkererwten;2026-01-03;220;308;6;39;17;0;16;19
notenmix;2026-01-03;50;311;29;9;8;0;4;21
whey-v;2026-01-03;30;120;1;3;23;0;0;22
Sunday;;;;;;;;;
avocado;2026-01-04;1x;320;30;17;4;0;13;13
wortel;2026-01-04;2x;50;0;12;1;0;3;15
whey-v;2026-01-04;60;240;2;7;46;0;0;16
wortel;2026-01-04;2x;50;0;12;1;0;3;17
notenmix;2026-01-04;30;187;18;5;5;0;3;18
kikkererwten;2026-01-04;220;308;6;39;17;0;16;19
notenmix;2026-01-04;50;311;29;9;8;0;4;21
whey-v;2026-01-04;30;120;1;3;23;0;0;22
Monday;;;;;;;;;
avocado;2026-01-05;1x;320;30;17;4;0;13;12
appel;2026-01-05;1x;95;0;25;1;0;4;16
whey-v;2026-01-05;60;240;2;7;46;0;0;17
passievrucht;2026-01-05;1x;17;0;4;2;0;2;18
mango;2026-01-05;1x;135;1;35;1;0;4;19
notenmix;2026-01-05;30;187;18;5;5;0;3;19
kiwi;2026-01-05;1x;42;0;10;1;0;2;20
notenmix;2026-01-05;50;311;29;9;8;0;4;21
whey-v;2026-01-05;60;240;2;7;46;0;0;22
Tuesday;;;;;;;;;
avocado;2026-01-06;1x;320;30;17;4;0;13;12
peer;2026-01-06;1x;100;0;27;1;0;6;16
whey-v;2026-01-06;90;360;3;10;68;1;0;17
kikkererwten;2026-01-06;220;308;6;39;17;0;16;19
appel;2026-01-06;1x;95;0;25;1;0;4;20
notenmix;2026-01-06;40;249;23;7;7;0;3;21
whey-v;2026-01-06;30;120;1;3;23;0;0;22
Wednesday;;;;;;;;;
avocado;2026-01-07;1x;320;30;17;4;0;13;12
appel;2026-01-07;1x;95;0;25;1;0;4;14
peer;2026-01-07;1x;100;0;27;1;0;6;15
mandarijn;2026-01-07;1x;50;0;13;1;0;2;16
whey-v;2026-01-07;60;240;2;7;46;0;0;17
passievrucht;2026-01-07;2x;34;0;8;4;1;4;18
kikkererwten;2026-01-07;220;308;6;39;17;0;16;19
appel;2026-01-07;1x;95;0;25;1;0;4;20
notenmix;2026-01-07;40;249;23;7;7;0;3;21
whey-v;2026-01-07;30;120;1;3;23;0;0;22
Thursday;;;;;;;;;
avocado;2026-01-08;1x;320;30;17;4;0;13;12
kiwi;2026-01-08;1x;42;0;10;1;0;2;13
kiwi;2026-01-08;1x;42;0;10;1;0;2;14
kiwi;2026-01-08;1x;42;0;10;1;0;2;15
kerstomaat_count;2026-01-08;9x;36;0;8;2;0;2;16
whey-v;2026-01-08;60;240;2;7;46;0;0;17
notenmix;2026-01-08;50;311;29;9;8;0;4;18
mango;2026-01-08;1x;;;;;;;19
appel;2026-01-08;1x;95;0;25;1;0;4;20
peer;2026-01-08;1x;100;0;27;1;0;6;21
whey-v;2026-01-08;30;120;1;3;23;0;0;22
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
