Weekly Summary;;;;;;;;;
Day;Date;;KiloCalories;Fat;Carbohydrate;Protein;Salt;Fibre;Activity
Friday;2026-01-09;;3637;98;434;65;6;30;
Saturday;2026-01-10;;1108;40;70;113;1;29;55m powertraining
Sunday;2026-01-11;;2288;105;192;110;1;58;40m run 11.3km/h
Monday;2026-01-12;;1666;69;199;80;1;54;40m powertraining
Tuesday;2026-01-13;;1983;71;246;110;2;66;53m run 11.3km/h
Wednesday;2026-01-14;;2055;99;248;70;0;65;
Thursday;2026-01-15;;1755;41;225;75;1;50;53m run 11.3km/h
;;Daily Average:;2070;75;231;89;1;50;
;;Adjusted For Underreporting(110%):;2278;82;254;98;2;55;
;;Calculated weight diff:;-0.29;;;;;;
;;Real weight diff on scale:;-0.200000000000003;;;;;;
Detailed List;;;;;;;;;
Name;Date;Quantity;KiloCalories;Fat;Carbohydrate;Protein;Salt;Fibre;Hour
Friday;;;;;;;;;
americano;2026-01-09;1x;602;30;49;31;3;6;12
jupiler;2026-01-09;1x;105;0;9;0;0;0;17
jupiler;2026-01-09;1x;105;0;9;0;0;0;17
appel;2026-01-09;1x;95;0;25;1;0;4;18
jupiler;2026-01-09;1x;105;0;9;0;0;0;18
groenedruiven;2026-01-09;500;345;1;90;4;0;5;18
carslberg50cl;2026-01-09;1x;210;0;17;2;0;0;18
jupiler;2026-01-09;1x;105;0;9;0;0;0;19
stella33cl;2026-01-09;1x;143;0;12;2;0;0;20
natchos;2026-01-09;300;1443;66;180;23;2;15;21
delirium;2026-01-09;1x;208;0;12;0;0;0;22
orval;2026-01-09;1x;171;0;13;3;0;0;23
Saturday;;;;;;;;;
whey-v;2026-01-10;30;120;1;3;23;0;0;10
avocado;2026-01-10;1x;320;30;17;4;0;13;12
whey-v;2026-01-10;60;240;2;7;46;0;0;16
kikkererwten;2026-01-10;220;308;6;39;17;0;16;19
whey-v;2026-01-10;30;120;1;3;23;0;0;22
Sunday;;;;;;;;;
banaan;2026-01-11;1x;105;0;27;1;0;3;9
avocado;2026-01-11;1x;320;30;17;4;0;13;11
whey-v;2026-01-11;60;240;2;7;46;0;0;13
Rode-wijn;2026-01-11;1x;128;0;4;0;0;0;17
Rode-wijn;2026-01-11;1x;128;0;4;0;0;0;18
kikkererwten;2026-01-11;220;308;6;39;17;0;16;19
