Weekly Summary;;;;;;;;;
Day;Date;;KiloCalories;Fat;Carbohydrate;Protein;Salt;Fibre;Activity
Friday;2026-04-03;;2351;32;246;41;3;17;28m bike
Saturday;2026-04-04;;3610;115;303;123;6;23;25m run 11.8km/h
Sunday;2026-04-05;;5053;64;193;86;5;12;30m bike
Monday;2026-04-06;;3419;123;462;110;8;41;55m powertraining
Tuesday;2026-04-07;;2670;77;313;122;4;52;36m run 11.8km/h
Wednesday;2026-04-08;;2915;145;286;70;2;25;
Thursday;2026-04-09;;2473;34;424;82;2;57;
;;Daily Average:;3213;84;318;91;4;32;
;;Adjusted For Underreporting(110%):;3534;93;350;100;5;36;
;;Calculated weight diff:;0.85;;;;;;
;;Weight Diff:;2.5;;;;;;
Detailed List;;;;;;;;;
Name;Date;Quantity;KiloCalories;Fat;Carbohydrate;Protein;Salt;Fibre;Hour
Friday;;;;;;;;;
americano;2026-04-03;100;602;30;49;31;3;6;12
peer;2026-04-03;1x;100;0;27;1;0;6;18
stella33cl;2026-04-03;2x;286;0;24;4;0;0;18
groenedruiven;2026-04-03;300;207;1;54;2;0;3;19
carslberg50cl;2026-04-03;1x;210;0;17;2;0;0;19
delirium;2026-04-03;1x;208;0;12;0;0;0;20
duvel;2026-04-03;1x;211;0;12;0;0;0;21
omer;2026-04-03;1x;211;0;12;0;0;0;22
karmeliet;2026-04-03;1x;211;0;12;0;0;0;23
banaan;2026-04-03;1x;105;0;27;1;0;3;23
Saturday;;;;;;;;;
mango;2026-04-04;1x;135;1;35;1;0;4;8
proteine;2026-04-04;41;154;1;2;31;0;3;12
champagne;2026-04-04;3x;225;0;6;0;0;0;15
notenmix;2026-04-04;40;249;23;7;7;0;3;15
appel;2026-04-04;1x;95;0;25;1;0;4;17
pizza_count;2026-04-04;1x;1800;90;180;80;6;8;18
stella33cl;2026-04-04;1x;143;0;12;2;0;0;18
stella33cl;2026-04-04;1x;143;0;12;2;0;0;19
fourchette;2026-04-04;1x;250;0;0;0;0;0;21
delirium;2026-04-04;1x;208;0;12;0;0;0;22
delirium;2026-04-04;1x;208;0;12;0;0;0;23
vodka_shot;2026-04-04;1x;;;;;;;24
vodka_shot;2026-04-04;1x;;;;;;;1
Sunday;;;;;;;;;
ontbijt;2026-04-05;1x;440;5;60;20;2;3;11
champagne;2026-04-05;2.5x;188;0;5;0;0;0;11
delirium;2026-04-05;1x;208;0;12;0;0;0;13
carslberg50cl;2026-04-05;1x;210;0;17;2;0;0;14
stella33cl;2026-04-05;1x;143;0;12;2;0;0;15
carslberg50cl;2026-04-05;1x;210;0;17;2;0;0;15
Rode-wijn;2026-04-05;1x;128;0;4;0;0;0;17
notenmix;2026-04-05;50;311;29;9;8;0;4;17
steak_avondeten;2026-04-05;1x;650;30;45;50;3;5;18
stella33cl;2026-04-05;1x;143;0;12;2;0;0;18
vodka_15cl;2026-04-05;1x;346;0;0;0;0;0;20
vodka_15cl;2026-04-05;1x;346;0;0;0;0;0;20
vodka_15cl;2026-04-05;1x;346;0;0;0;0;0;21
vodka_15cl;2026-04-05;1x;346;0;0;0;0;0;21
vodka_15cl;2026-04-05;1x;346;0;0;0;0;0;22
vodka_15cl;2026-04-05;1x;346;0;0;0;0;0;22
vodka_15cl;2026-04-05;1x;346;0;0;0;0;0;23
Monday;;;;;;;;;
groenedruiven;2026-04-06;300;207;1;54;2;0;3;9
banaan;2026-04-06;2x;210;1;54;3;0;6;9
rijstkoek;2026-04-06;30.8;119;1;0;2;0;1;9
peer;2026-04-06;1x;100;0;27;1;0;6;9
ciccio_mario;2026-04-06;1x;826;39;82;33;4;6;12
cinnamon_roll_count;2026-04-06;1x;450;18;65;7;1;3;12
ciccio_mini_gebak;2026-04-06;3x;660;33;84;9;1;5;12
steak_avondeten;2026-04-06;1x;650;30;45;50;3;5;18
pompelmoes_count;2026-04-06;1x;97;0;25;2;0;4;23
mandarijn;2026-04-06;2x;100;1;26;2;0;3;23
Tuesday;;;;;;;;;
banaan;2026-04-07;2x;210;1;54;3;0;6;8
appel;2026-04-07;1x;95;0;25;1;0;4;8
rijstkoek;2026-04-07;23.1;89;1;0;2;0;1;8
rijstkoek;2026-04-07;23.1;89;1;0;2;0;1;10
smos_count;2026-04-07;1x;650;32;55;30;3;4;12
kleine_suikerwafel_spar_count;2026-04-07;1x;252;13;29;3;0;1;12
tony_chocolade_noot;2026-04-07;40;224;14;19;3;0;0;15
rijstkoek;2026-04-07;15.4;60;0;0;1;0;0;15
peer;2026-04-07;1x;100;0;27;1;0;6;15
proteine;2026-04-07;75;281;1;3;56;1;6;17
kikkererwten;2026-04-07;220;308;6;39;17;0;16;20
appel;2026-04-07;1x;95;0;25;1;0;4;20
banaan;2026-04-07;1x;105;0;27;1;0;3;20
tony_chocolade_noot;2026-04-07;20;112;7;9;2;0;0;20
Wednesday;;;;;;;;;
colruyt_aquarius;2026-04-08;1x;68;0;17;0;0;0;12
bosbes;2026-04-08;300;156;1;33;2;0;7;14
oikos_natuur_niet mager;2026-04-08;480;566;48;18;15;1;0;16
cacao;2026-04-08;16;53;2;2;4;0;5;16
groenedruiven;2026-04-08;500;345;1;90;4;0;5;17
tony_chocolade_noot;2026-04-08;56;313;20;26;5;0;0;17
banaan;2026-04-08;1x;105;0;27;1;0;3;17
tony_chocolade_noot;2026-04-08;59;330;21;28;5;0;0;21
proteine;2026-04-08;20;75;0;1;15;0;2;21
cacao;2026-04-08;5;17;1;1;1;0;2;21
oikos_natuur_niet mager;2026-04-08;241;284;24;9;8;0;0;21
kleine_suikerwafel_spar_count;2026-04-08;1x;252;13;29;3;0;1;22
mnm;2026-04-08;50;262;13;5;5;0;0;22
rijstkoek;2026-04-08;23.1;89;1;0;2;0;1;22
Thursday;;;;;;;;;
proteine;2026-04-09;13;49;0;0;10;0;1;8
oikos_natuur_niet mager;2026-04-09;239;282;24;9;8;0;0;8
cacao;2026-04-09;5;17;1;1;1;0;2;8
banaan;2026-04-09;1x;105;0;27;1;0;3;8
rijstkoek;2026-04-09;7.7;30;0;0;1;0;0;8
bosbes;2026-04-09;300;156;1;33;2;0;7;11
mango;2026-04-09;1x;135;1;35;1;0;4;12
proteine;2026-04-09;10;38;0;0;8;0;1;15
cacao;2026-04-09;5;17;1;1;1;0;2;15
banaan;2026-04-09;1x;105;0;27;1;0;3;15
