Weekly Summary;;;;;;;;;
Day;Date;;KiloCalories;Fat;Carbohydrate;Protein;Salt;Fibre;Activity
Friday;2026-04-10;;2542;31;440;71;1;75;
Saturday;2026-04-11;;2596;16;439;97;3;67;
Sunday;2026-04-12;;2854;74;513;71;1;82;
Monday;2026-04-13;;2599;17;526;83;2;78;
Tuesday;2026-04-14;;2666;12;533;49;1;69;
Wednesday;2026-04-15;;2386;17;523;77;1;100;
Thursday;2026-04-16;;2555;36;372;124;2;74;
;;Daily Average:;2600;29;478;82;2;78;
;;Adjusted For Underreporting(110%):;2860;32;526;90;2;86;
;;Calculated weight diff:;0.24;;;;;;
;;Weight Diff:;-0.200000000000003;;;;;;
Detailed List;;;;;;;;;
Name;Date;Quantity;KiloCalories;Fat;Carbohydrate;Protein;Salt;Fibre;Hour
Friday;;;;;;;;;
bosbes;2026-04-10;300;156;1;33;2;0;7;9
skyr;2026-04-10;225;135;0;9;9;0;0;9
cacao;2026-04-10;5;17;1;1;1;0;2;9
pompelmoes_count;2026-04-10;1x;97;0;25;2;0;4;11
pruim_count;2026-04-10;1x;30;0;8;1;0;1;11
appel;2026-04-10;1x;95;0;25;1;0;4;12
skyr;2026-04-10;225;135;0;9;9;0;0;12
banaan;2026-04-10;1x;105;0;27;1;0;3;12
pruim_count;2026-04-10;1x;30;0;8;1;0;1;13
skyr;2026-04-10;225;135;0;9;9;0;0;15
banaan;2026-04-10;1x;105;0;27;1;0;3;15
pruim_count;2026-04-10;1x;30;0;8;1;0;1;16
appel;2026-04-10;1x;95;0;25;1;0;4;16
mango;2026-04-10;1x;135;1;35;1;0;4;16
kikkererwten;2026-04-10;220;308;6;39;17;0;16;18
olijfolie;2026-04-10;20;164;18;0;0;0;0;18
appel;2026-04-10;1x;95;0;25;1;0;4;18
pruim_count;2026-04-10;1x;30;0;8;1;0;1;19
bosbes;2026-04-10;300;156;1;33;2;0;7;19
appel;2026-04-10;2x;190;1;50;1;0;9;20
skyr;2026-04-10;225;135;0;9;9;0;0;21
banaan;2026-04-10;1x;105;0;27;1;0;3;21
rijstkoek;2026-04-10;15.4;60;0;0;1;0;0;21
Saturday;;;;;;;;;
skyr;2026-04-11;225;135;0;9;9;0;0;10
banaan;2026-04-11;1x;105;0;27;1;0;3;10
pruim_count;2026-04-11;1x;30;0;8;1;0;1;11
pruim_count;2026-04-11;1x;30;0;8;1;0;1;12
groenedruiven;2026-04-11;500;345;1;90;4;0;5;13
appel;2026-04-11;2x;190;1;50;1;0;9;14
pruim_count;2026-04-11;1x;30;0;8;1;0;1;15
skyr;2026-04-11;225;135;0;9;9;0;0;16
banaan;2026-04-11;1x;105;0;27;1;0;3;16
rijstkoek;2026-04-11;15.4;60;0;0;1;0;0;16
kikkererwten;2026-04-11;220;308;6;39;17;0;16;19
zalm_del_blik;2026-04-11;120;126;3;1;24;1;1;19
appel;2026-04-11;2x;190;1;50;1;0;9;20
rijstkoek;2026-04-11;15.4;60;0;0;1;0;0;20
pruim_count;2026-04-11;1x;30;0;8;1;0;1;20
banaan;2026-04-11;1x;105;0;27;1;0;3;21
appel;2026-04-11;1x;95;0;25;1;0;4;21
pruim_count;2026-04-11;1x;30;0;8;1;0;1;21
rijstkoek;2026-04-11;23.1;89;1;0;2;0;1;21
cacao;2026-04-11;10;33;1;1;3;0;3;22
skyr;2026-04-11;450;270;0;18;18;1;0;22
appel;2026-04-11;1x;95;0;25;1;0;4;22
Sunday;;;;;;;;;
skyr;2026-04-12;225;135;0;9;9;0;0;11
frambozen;2026-04-12;63;123;30;4;1;0;0;11
pruim_count;2026-04-12;1x;30;0;8;1;0;1;11
appel;2026-04-12;2x;190;1;50;1;0;9;12
banaan;2026-04-12;1x;105;0;27;1;0;3;12
pompelmoes_count;2026-04-12;1x;97;0;25;2;0;4;12
rijstkoek;2026-04-12;15.4;60;0;0;1;0;0;12
mandarijn;2026-04-12;1x;50;0;13;1;0;2;14
rijstkoek;2026-04-12;38.5;149;1;0;3;0;1;14
skyr;2026-04-12;225;135;0;9;9;0;0;15
frambozen;2026-04-12;63;123;30;4;1;0;0;15
rijstkoek;2026-04-12;15.4;60;0;0;1;0;0;15
skyr;2026-04-12;225;135;0;9;9;0;0;17
cacao;2026-04-12;10;33;1;1;3;0;3;17
erythritol;2026-04-12;30;6;0;30;0;0;0;17
kikkererwten;2026-04-12;220;308;6;39;17;0;16;18
banaan;2026-04-12;2x;210;1;54;3;0;6;19
appel;2026-04-12;1x;95;0;25;1;0;4;19
peer;2026-04-12;1x;100;0;27;1;0;6;19
appel;2026-04-12;1x;95;0;25;1;0;4;20
bosbes;2026-04-12;300;156;1;33;2;0;7;20
banaan;2026-04-12;1x;105;0;27;1;0;3;21
appel;2026-04-12;1x;95;0;25;1;0;4;21
banaan;2026-04-12;2x;210;1;54;3;0;6;22
mandarijn;2026-04-12;1x;50;0;13;1;0;2;
Monday;;;;;;;;;
skyr;2026-04-13;450;270;0;18;18;1;0;13
cacao;2026-04-13;12;40;1;2;3;0;4;13
groenedruiven;2026-04-13;500;345;1;90;4;0;5;16
kikkererwten;2026-04-13;220;308;6;39;17;0;16;18
zalm_del_blik;2026-04-13;120;126;3;1;24;1;1;18
banaan;2026-04-13;2x;210;1;54;3;0;6;18
banaan;2026-04-13;2x;210;1;54;3;0;6;19
appel;2026-04-13;1x;95;0;25;1;0;4;19
banaan;2026-04-13;2x;210;1;54;3;0;6;20
appel;2026-04-13;1x;95;0;25;1;0;4;20
banaan;2026-04-13;1x;105;0;27;1;0;3;21
bosbes;2026-04-13;300;156;1;33;2;0;7;21
banaan;2026-04-13;2x;210;1;54;3;0;6;22
appel;2026-04-13;2x;190;1;50;1;0;9;22
rijstkoek;2026-04-13;7.7;30;0;0;1;0;0;
Tuesday;;;;;;;;;
skyr;2026-04-14;450;270;0;18;18;1;0;12
cacao;2026-04-14;15;50;2;2;4;0;5;12
appel;2026-04-14;1x;95;0;25;1;0;4;14
groenedruiven;2026-04-14;400;276;1;72;3;0;4;16
rijstkoek;2026-04-14;15.4;60;0;0;1;0;0;16
mandarijn;2026-04-14;1x;50;0;13;1;0;2;18
mango;2026-04-14;1x;135;1;35;1;0;4;18
appel;2026-04-14;4x;380;1;100;2;0;18;19
pruim_count;2026-04-14;1x;30;0;8;1;0;1;19
rijstkoek;2026-04-14;15.4;60;0;0;1;0;0;19
groenedruiven;2026-04-14;500;345;1;90;4;0;5;20
banaan;2026-04-14;1x;105;0;27;1;0;3;20
pruim_count;2026-04-14;1x;30;0;8;1;0;1;20
bosbes;2026-04-14;300;156;1;33;2;0;7;21
pompelmoes_count;2026-04-14;1x;97;0;25;2;0;4;21
pruim_count;2026-04-14;1x;30;0;8;1;0;1;21
appel;2026-04-14;1x;95;0;25;1;0;4;22
mango;2026-04-14;1x;135;1;35;1;0;4;22
rijstkoek;2026-04-14;61.6;238;2;0;5;0;2;22
pruim_count;2026-04-14;1x;30;0;8;1;0;1;22
Wednesday;;;;;;;;;
mango;2026-04-15;1x;135;1;35;1;0;4;11
pruim_count;2026-04-15;1x;30;0;8;1;0;1;11
appel;2026-04-15;1x;95;0;25;1;0;4;13
appel;2026-04-15;1x;95;0;25;1;0;4;14
appel;2026-04-15;1x;95;0;25;1;0;4;15
pruim_count;2026-04-15;1x;30;0;8;1;0;1;15
banaan;2026-04-15;1x;105;0;27;1;0;3;15
rode_bonen;2026-04-15;240;245;2;36;20;0;16;16
appel;2026-04-15;1x;95;0;25;1;0;4;17
kikkererwten;2026-04-15;220;308;6;39;17;0;16;18
zalm_del_blik;2026-04-15;120;126;3;1;24;1;1;18
peer;2026-04-15;1x;100;0;27;1;0;6;19
banaan;2026-04-15;1x;105;0;27;1;0;3;19
mandarijn;2026-04-15;1x;50;0;13;1;0;2;19
banaan;2026-04-15;1x;105;0;27;1;0;3;20
appel;2026-04-15;1x;95;0;25;1;0;4;20
mandarijn;2026-04-15;1x;50;0;13;1;0;2;20
appel;2026-04-15;1x;95;0;25;1;0;4;21
pompelmoes_count;2026-04-15;1x;97;0;25;2;0;4;21
appel;2026-04-15;1x;95;0;25;1;0;4;22
banaan;2026-04-15;1x;105;0;27;1;0;3;22
peer;2026-04-15;1x;100;0;27;1;0;6;22
pruim_count;2026-04-15;1x;30;0;8;1;0;1;22
Thursday;;;;;;;;;
caesar_gezondigd;2026-04-16;1x;301;13;5;43;0;0;12
mango;2026-04-16;1x;135;1;35;1;0;4;12
appel;2026-04-16;1x;95;0;25;1;0;4;12
