Weekly Summary;;;;;;;;;
Day;Date;;KiloCalories;Fat;Carbohydrate;Protein;Salt;Fibre;Activity
Friday;2026-06-05;;3628;169;129;166;2;14;52m run 11.6km/h
Saturday;2026-06-06;;5918;192;490;146;11;26;180m walk 5km/h
Sunday;2026-06-07;;3260;123;310;132;8;45;
Monday;2026-06-08;;1530;85;36;148;2;12;52m run 11.6km/h
Tuesday;2026-06-09;;884;4;7;139;2;16;60m powertraining
Wednesday;2026-06-10;;1089;5;45;189;2;34;50m run 11.6km/h
Thursday;2026-06-11;;920;4;43;155;2;30;60m powertraining
;;Daily Average:;2461;83;151;154;4;25;
;;Adjusted For Underreporting(110%):;2707;91;166;169;4;28;
;;Calculated weight diff:;0.10;;;;;;
;;Weight Diff:;0.0999999999999943;;;;;;
Detailed List;;;;;;;;;
Name;Date;Quantity;KiloCalories;Fat;Carbohydrate;Protein;Salt;Fibre;Hour
Friday;;;;;;;;;
rijstkoek;2026-06-05;7.7;30;0;0;1;0;0;10
proteine;2026-06-05;43;161;1;2;32;0;3;11
mango;2026-06-05;100;135;1;35;1;0;4;12
rijstkoek;2026-06-05;15.4;60;0;0;1;0;0;15
nectarine_count;2026-06-05;2x;120;1;30;2;0;4;16
jupiler_33cl;2026-06-05;4x;572;0;40;6;0;0;16
notenmix;2026-06-05;30;187;18;5;5;0;3;16
fourchette;2026-06-05;1x;250;0;0;0;0;0;19
jupiler_25cl;2026-06-05;1x;105;0;8;1;0;0;19
steak;2026-06-05;450;1125;90;0;117;1;0;19
mayonnaise;2026-06-05;50;372;41;1;1;1;0;19
fourchette;2026-06-05;1x;250;0;0;0;0;0;20
cristal;2026-06-05;1x;98;0;8;0;0;0;22
olijfolie;2026-06-05;20;164;18;0;0;0;0;
Saturday;;;;;;;;;
nectarine_count;2026-06-06;1x;60;0;15;1;0;2;9
olijfolie;2026-06-06;8;66;7;0;0;0;0;9
pistolet_count;2026-06-06;3x;486;2;99;17;3;4;9
americain;2026-06-06;120;302;25;2;17;2;0;9
jenever;2026-06-06;500;1100;20;90;3;0;0;11
carslberg50cl;2026-06-06;1x;210;0;17;2;0;0;13
nectarine_count;2026-06-06;1x;60;0;15;1;0;2;14
appel;2026-06-06;1x;95;0;25;1;0;4;15
rijstkoek;2026-06-06;30.8;119;1;0;2;0;1;15
jupiler_25cl;2026-06-06;1x;105;0;8;1;0;0;15
notenmix;2026-06-06;30;187;18;5;5;0;3;15
delirium;2026-06-06;2x;140;11;0;10;0;1;19
pizza_count;2026-06-06;1x;1800;90;180;80;6;8;20
fourchette;2026-06-06;1x;250;0;0;0;0;0;20
rijstkoek;2026-06-06;30.8;119;1;0;2;0;1;21
carslberg50cl;2026-06-06;1x;210;0;17;2;0;0;21
fourchette;2026-06-06;1x;250;0;0;0;0;0;22
mayonnaise;2026-06-06;20;149;16;0;0;0;0;22
jupiler_25cl;2026-06-06;2x;210;0;16;2;0;0;
Zondag;;;;;;;;;
hollandsekaas_count;2026-06-07;2x;140;11;0;10;0;1;10
