Weekly Summary;;;;;;;;;
Day;Date;;KiloCalories;Fat;Carbohydrate;Protein;Salt;Fibre;Activity
Friday;2026-05-15;;4282;139;364;75;8;21;
Saturday;2026-05-16;;2323;20;182;31;3;17;
Sunday;2026-05-17;;4302;143;280;200;15;22;50m run 11.6km/h
Monday;2026-05-18;;2035;121;110;101;6;15;55m powertraining
Tuesday;2026-05-19;;1062;12;170;69;1;39;25m run 11.6km/h
Wednesday;2026-05-20;;1598;98;93;118;2;15;40m powertraining
Thursday;2026-05-21;;1480;15;241;92;1;62;40m run 11.6km/h
;;Daily Average:;2440;78;206;98;5;27;
;;Adjusted For Underreporting(110%):;2684;86;226;108;6;30;
;;Calculated weight diff:;0.08;;;;;;
;;Weight Diff:;-0.100000000000001;;;;;;
Detailed List;;;;;;;;;
Name;Date;Quantity;KiloCalories;Fat;Carbohydrate;Protein;Salt;Fibre;Hour
Friday;;;;;;;;;
pompelmoes_count;2026-05-15;2x;194;0;49;4;0;7;12
trouw;2026-05-15;1x;4088;139;315;71;8;14;16
Saturday;;;;;;;;;
mango;2026-05-16;1x;135;1;35;1;0;4;12
duvel;2026-05-16;1x;211;0;12;0;0;0;14
champagne;2026-05-16;3x;225;0;6;0;0;0;15
smos;2026-05-16;1x;536;18;64;26;3;4;16
bosbes_count;2026-05-16;80x;80;0;16;1;0;4;16
fourchette;2026-05-16;1x;250;0;0;0;0;0;20
rijstkoek;2026-05-16;30.8;119;1;0;2;0;1;20
omer;2026-05-16;1x;211;0;12;0;0;0;20
karmeliet;2026-05-16;1x;211;0;12;0;0;0;21
appel;2026-05-16;1x;95;0;25;1;0;4;22
fourchette;2026-05-16;1x;250;0;0;0;0;0;22
Sunday;;;;;;;;;
appel;2026-05-17;1x;95;0;25;1;0;4;9
pruim_count;2026-05-17;1x;30;0;8;1;0;1;10
pistolet_count;2026-05-17;3x;486;2;99;17;3;4;12
beleg;2026-05-17;1x;680;55;4;43;5;0;12
champagne;2026-05-17;2x;150;0;4;0;0;0;12
proteine;2026-05-17;30;113;0;1;23;0;2;16
duvel;2026-05-17;1x;211;0;12;0;0;0;17
jupiler_33cl;2026-05-17;1x;143;0;10;1;0;0;18
aardbij;2026-05-17;300;78;1;16;2;0;4;18
grieks;2026-05-17;1x;1400;85;45;110;8;6;18
duvel;2026-05-17;2x;422;0;24;0;0;0;18
jupiler_33cl;2026-05-17;2x;286;0;20;3;0;0;21
delirium;2026-05-17;1x;208;0;12;0;0;0;22
Monday;;;;;;;;;
Mango;2026-05-18;1x;135;1;35;1;0;4;12
moetieke_gekook;2026-05-18;1x;1900;120;75;100;6;11;20
Tuesday;;;;;;;;;
mango;2026-05-19;1x;135;1;35;1;0;4;12
pruim_count;2026-05-19;1x;30;0;8;1;0;1;12
proteine;2026-05-19;45;169;1;2;34;0;4;18
rode_bonen;2026-05-19;240;245;2;36;20;0;16;20
rijstkoek;2026-05-19;7.7;30;0;0;1;0;0;20
banaan;2026-05-19;1x;105;0;27;1;0;3;21
provital_sesam_count;2026-05-19;1x;124;8;4;9;0;3;21
mandarijn;2026-05-19;1x;50;0;13;1;0;2;21
appel;2026-05-19;1x;95;0;25;1;0;4;22
pruim_count;2026-05-19;1x;30;0;8;1;0;1;22
mandarijn;2026-05-19;1x;50;0;13;1;0;2;22
Wednesday;;;;;;;;;
mango;2026-05-20;1x;135;1;35;1;0;4;12
mandarijn;2026-05-20;1x;50;0;13;1;0;2;12
steak;2026-05-20;425;1063;85;0;111;1;0;19
salades;2026-05-20;1x;350;12;45;6;1;10;19
Thursday;;;;;;;;;
appel;2026-05-21;1x;95;0;25;1;0;4;11
mango;2026-05-21;1x;135;1;35;1;0;4;12
banaan;2026-05-21;1x;105;0;27;1;0;3;12
aardbij;2026-05-21;150;39;0;8;1;0;2;15
proteine;2026-05-21;46;173;1;2;35;0;4;17
rode_bonen;2026-05-21;240;245;2;36;20;0;16;19
rijstkoek;2026-05-21;15.4;60;0;0;1;0;0;20
rode_bonen;2026-05-21;240;245;2;36;20;0;16;21
pruim_count;2026-05-21;1x;30;0;8;1;0;1;21
provital_sesam_count;2026-05-21;1x;124;8;4;9;0;3;22
banaan;2026-05-21;1x;105;0;27;1;0;3;22
appel;2026-05-21;1x;95;0;25;1;0;4;22
pruim_count;2026-05-21;1x;30;0;8;1;0;1;22
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
