Weekly Summary;;;;;;;;;
Day;Date;;KiloCalories;Fat;Carbohydrate;Protein;Salt;Fibre;Activity
Friday;2026-04-17;;2075;16;394;75;1;81;
Saturday;2026-04-18;;1974;32;328;98;0;73;
Sunday;2026-04-19;;2558;23;445;84;2;88;
Monday;2026-04-20;;1783;21;354;63;2;61;
Tuesday;2026-04-21;;1948;24;345;60;0;75;30m powertraining
Wednesday;2026-04-22;;1844;35;316;68;1;71;45m powertraining
Thursday;2026-04-23;;1945;27;358;66;1;78;30m powertraining
;;Daily Average:;2018;26;363;73;1;75;
;;Adjusted For Underreporting(110%):;2220;28;399;81;1;83;
;;Calculated weight diff:;-0.35;;;;;;
;;Weight Diff:;0.700000000000003;;;;;;
Detailed List;;;;;;;;;
Name;Date;Quantity;KiloCalories;Fat;Carbohydrate;Protein;Salt;Fibre;Hour
Friday;;;;;;;;;
mango;2026-04-17;100;135;1;35;1;0;4;9
appel;2026-04-17;1x;95;0;25;1;0;4;9
mango;2026-04-17;1x;135;1;35;1;0;4;15
rode_bonen;2026-04-17;240;245;2;36;20;0;16;15
appel;2026-04-17;4x;380;1;100;2;0;18;18
banaan;2026-04-17;1x;105;0;27;1;0;3;18
pruim_count;2026-04-17;1x;30;0;8;1;0;1;18
kikkererwten;2026-04-17;220;308;6;39;17;0;16;18
zalm_del_blik;2026-04-17;120;126;3;1;24;1;1;18
pompelmoes_count;2026-04-17;1x;97;0;25;2;0;4;19
rijstkoek;2026-04-17;30.8;119;1;0;2;0;1;19
appel;2026-04-17;2x;190;1;50;1;0;9;21
rijstkoek;2026-04-17;15.4;60;0;0;1;0;0;22
mandarijn;2026-04-17;1x;50;0;13;1;0;2;22
Saturday;;;;;;;;;
caesar_gezondigd;2026-04-18;1x;301;13;5;43;0;0;11
banaan;2026-04-18;1x;105;0;27;1;0;3;15
appel;2026-04-18;1x;95;0;25;1;0;4;15
pruim_count;2026-04-18;1x;30;0;8;1;0;1;15
rode_bonen;2026-04-18;240;245;2;36;20;0;16;15
rijstkoek;2026-04-18;15.4;60;0;0;1;0;0;15
provital_sesam_count;2026-04-18;1x;124;8;4;9;0;3;17
appel;2026-04-18;3x;285;1;75;2;0;13;17
pompelmoes_count;2026-04-18;1x;97;0;25;2;0;4;17
mango;2026-04-18;1x;135;1;35;1;0;4;20
kikkererwten;2026-04-18;220;308;6;39;17;0;16;20
appel;2026-04-18;2x;190;1;50;1;0;9;22
Sunday;;;;;;;;;
mango;2026-04-19;1x;135;1;35;1;0;4;12
provital_sesam_count;2026-04-19;1x;124;8;4;9;0;3;12
appel;2026-04-19;1x;95;0;25;1;0;4;15
rode_bonen;2026-04-19;240;245;2;36;20;0;16;15
rijstkoek;2026-04-19;7.7;30;0;0;1;0;0;15
kikkererwten;2026-04-19;220;308;6;39;17;0;16;18
zalm_del_blik;2026-04-19;120;126;3;1;24;1;1;18
delirium;2026-04-19;1x;208;0;12;0;0;0;19
appel;2026-04-19;3x;285;1;75;2;0;13;19
appel;2026-04-19;1x;95;0;25;1;0;4;20
jupiler_33cl;2026-04-19;1x;143;0;10;1;0;0;21
appel;2026-04-19;2x;190;1;50;1;0;9;21
banaan;2026-04-19;4x;420;2;108;5;0;12;21
rijstkoek;2026-04-19;15.4;60;0;0;1;0;0;21
appel;2026-04-19;1x;95;0;25;1;0;4;21
Monday;;;;;;;;;
provital_sesam_count;2026-04-20;1x;124;8;4;9;0;3;11
mango;2026-04-20;1x;135;1;35;1;0;4;12
appel;2026-04-20;1x;95;0;25;1;0;4;12
banaan;2026-04-20;2x;210;1;54;3;0;6;15
mandarijn;2026-04-20;1x;50;0;13;1;0;2;15
kikkererwten;2026-04-20;220;308;6;39;17;0;16;18
zalm_del_blik;2026-04-20;120;126;3;1;24;1;1;18
banaan;2026-04-20;1x;105;0;27;1;0;3;20
banaan;2026-04-20;1x;105;0;27;1;0;3;21
banaan;2026-04-20;1x;105;0;27;1;0;3;21
banaan;2026-04-20;1x;105;0;27;1;0;3;21
appel;2026-04-20;1x;95;0;25;1;0;4;21
rijstkoek;2026-04-20;7.7;30;0;0;1;0;0;21
appel;2026-04-20;2x;190;1;50;1;0;9;22
Tuesday;;;;;;;;;
provital_sesam_count;2026-04-21;1x;124;8;4;9;0;3;11
mango;2026-04-21;1x;135;1;35;1;0;4;12
appel;2026-04-21;1x;95;0;25;1;0;4;12
banaan;2026-04-21;2x;210;1;54;3;0;6;15
appel;2026-04-21;1x;95;0;25;1;0;4;15
appel;2026-04-21;1x;95;0;25;1;0;4;18
rode_bonen;2026-04-21;240;245;2;36;20;0;16;18
rijstkoek;2026-04-21;15.4;60;0;0;1;0;0;18
appel;2026-04-21;1x;95;0;25;1;0;4;20
kikkererwten;2026-04-21;220;308;6;39;17;0;16;20
rijstkoek;2026-04-21;15.4;60;0;0;1;0;0;20
olijfolie;2026-04-21;5;41;5;0;0;0;0;20
pompelmoes_count;2026-04-21;1x;97;0;25;2;0;4;21
appel;2026-04-21;1x;95;0;25;1;0;4;21
rijstkoek;2026-04-21;15.4;60;0;0;1;0;0;21
banaan;2026-04-21;1x;105;0;27;1;0;3;21
rijstkoek;2026-04-21;7.7;30;0;0;1;0;0;22
Wednesday;;;;;;;;;
provital_sesam_count;2026-04-22;1x;124;8;4;9;0;3;11
mango;2026-04-22;1x;135;1;35;1;0;4;12
mandarijn;2026-04-22;1x;50;0;13;1;0;2;12
banaan;2026-04-22;2x;210;1;54;3;0;6;15
appel;2026-04-22;1x;95;0;25;1;0;4;15
appel;2026-04-22;1x;95;0;25;1;0;4;18
notenmix;2026-04-22;15;93;9;3;2;0;1;18
appel;2026-04-22;1x;95;0;25;1;0;4;18
kikkererwten;2026-04-22;220;308;6;39;17;0;16;18
banaan;2026-04-22;1x;105;0;27;1;0;3;20
rode_bonen;2026-04-22;240;245;2;36;20;0;16;20
provital_sesam_count;2026-04-22;1x;124;8;4;9;0;3;21
banaan;2026-04-22;1x;105;0;27;1;0;3;21
rijstkoek;2026-04-22;15.4;60;0;0;1;0;0;21
Thursday;;;;;;;;;
mango;2026-04-23;1x;135;1;35;1;0;4;12
provital_sesam_count;2026-04-23;1x;124;8;4;9;0;3;12
rijstkoek;2026-04-23;15.4;60;0;0;1;0;0;12
mango;2026-04-23;1x;135;1;35;1;0;4;15
appel;2026-04-23;1x;95;0;25;1;0;4;15
banaan;2026-04-23;1x;105;0;27;1;0;3;17
rijstkoek;2026-04-23;7.7;30;0;0;1;0;0;17
kikkererwten;2026-04-23;220;308;6;39;17;0;16;18
appel;2026-04-23;1x;95;0;25;1;0;4;19
rode_bonen;2026-04-23;240;245;2;36;20;0;16;20
