Weekly Summary;;;;;;;;;
Day;Date;;KiloCalories;Fat;Carbohydrate;Protein;Salt;Fibre;Activity
Friday;2026-04-24;;2897;45;481;78;4;66;28m bike
Saturday;2026-04-25;;6013;200;452;90;6;20;
Sunday;2026-04-26;;3423;53;233;52;4;5;
Monday;2026-04-27;;1159;61;76;76;2;16;60m powertraining
Tuesday;2026-04-28;;763;11;111;57;1;30;25m run 11.8km/h
Wednesday;2026-04-29;;826;11;125;59;1;30;60m powertraining
Thursday;2026-04-30;;761;4;128;57;0;29;20m run 11.8km/h
;;Daily Average:;2263;55;229;67;2;28;
;;Adjusted For Underreporting(110%):;2489;60;252;74;3;31;
;;Calculated weight diff:;-0.10;;;;;;
;;Weight Diff:;-2;;;;;;
Detailed List;;;;;;;;;
Name;Date;Quantity;KiloCalories;Fat;Carbohydrate;Protein;Salt;Fibre;Hour
Friday;;;;;;;;;
mandarijn;2026-04-24;1x;50;0;13;1;0;2;10
americano;2026-04-24;1x;602;30;49;31;3;6;12
appel;2026-04-24;1x;95;0;25;1;0;4;12
banaan;2026-04-24;1x;105;0;27;1;0;3;13
groenedruiven;2026-04-24;100;69;0;18;1;0;1;15
mandarijn;2026-04-24;1x;50;0;13;1;0;2;15
banaan;2026-04-24;1x;105;0;27;1;0;3;16
appel;2026-04-24;1x;95;0;25;1;0;4;17
groenedruiven;2026-04-24;500;345;1;90;4;0;5;18
appel;2026-04-24;1x;95;0;25;1;0;4;18
appel;2026-04-24;1x;95;0;25;1;0;4;19
jupiler_33cl;2026-04-24;1x;143;0;10;1;0;0;19
rode_bonen;2026-04-24;240;245;2;36;20;0;16;19
jupiler_33cl;2026-04-24;2x;286;0;20;3;0;0;21
jupiler_33cl;2026-04-24;1x;143;0;10;1;0;0;21
provital_sesam_count;2026-04-24;1x;124;8;4;9;0;3;21
banaan;2026-04-24;1x;105;0;27;1;0;3;21
appel;2026-04-24;1x;95;0;25;1;0;4;21
mandarijn;2026-04-24;1x;50;0;13;1;0;2;21
Saturday;;;;;;;;;
mango;2026-04-25;1x;135;1;35;1;0;4;
frituur;2026-04-25;1x;1450;85;110;20;4;8;
ribbekes;2026-04-25;1x;900;60;25;40;1;5;
jenever;2026-04-25;3x;400;0;0;0;0;0;
jupiler_25cl;2026-04-25;20x;2100;0;160;20;0;0;
milka_koeken;2026-04-25;208;1028;54;122;9;2;3;
Sunday;;;;;;;;;
brugse_zot_count;2026-04-26;2x;420;0;32;4;0;0;
chicken_nugget_count;2026-04-26;1x;50;3;3;2;0;0;
salami_blokske_count;2026-04-26;15x;220;18;1;11;1;0;
mnm;2026-04-26;15;79;4;2;1;0;0;
trio_van_pasta;2026-04-26;1x;780;28;95;28;3;5;
duvel;2026-04-26;3x;633;0;36;0;0;0;
jupiler_33cl;2026-04-26;4x;572;0;40;6;0;0;
delirium;2026-04-26;1x;208;0;12;0;0;0;
fourchette;2026-04-26;1x;250;0;0;0;0;0;
filu;2026-04-26;1;211;0;12;0;0;0;
Monday;;;;;;;;;
mango;2026-04-27;1x;135;1;35;1;0;4;12
proteine;2026-04-27;33;124;0;1;25;0;3;17
kipsalade_met_ananas;2026-04-27;1x;900;60;40;50;2;10;19
Tuesday;;;;;;;;;
mango;2026-04-28;1x;135;1;35;1;0;4;12
pruim_count;2026-04-28;1x;30;0;8;1;0;1;15
proteine;2026-04-28;33;124;0;1;25;0;3;17
rode_bonen;2026-04-28;240;245;2;36;20;0;16;19
banaan;2026-04-28;1x;105;0;27;1;0;3;21
provital_sesam_count;2026-04-28;1x;124;8;4;9;0;3;21
Wednesday;;;;;;;;;
mango;2026-04-29;1x;135;1;35;1;0;4;12
physalis;2026-04-29;62.5;32;0;7;1;0;0;15
proteine;2026-04-29;33;124;0;1;25;0;3;17
rode_bonen;2026-04-29;240;245;2;36;20;0;16;19
banaan;2026-04-29;1x;105;0;27;1;0;3;21
provital_sesam_count;2026-04-29;1x;124;8;4;9;0;3;21
physalis;2026-04-29;62.5;32;0;7;1;0;0;22
pruim_count;2026-04-29;1x;30;0;8;1;0;1;22
Thursday;;;;;;;;;
mango;2026-04-30;1x;135;1;35;1;0;4;12
pruim_count;2026-04-30;1x;30;0;8;1;0;1;15
proteine;2026-04-30;45;169;1;2;34;0;4;17
rode_bonen;2026-04-30;240;245;2;36;20;0;16;19
mango;2026-04-30;1x;135;1;35;1;0;4;21
pruim_count;2026-04-30;1x;30;0;8;1;0;1;21
groenedruiven;2026-04-30;25;17;0;5;0;0;0;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
