Weekly Summary;;;;;;;;;
Day;Date;;KiloCalories;Fat;Carbohydrate;Protein;Salt;Fibre;Activity
Friday;2026-03-13;;2163;94;263;79;6;38;28m bike
Saturday;2026-03-14;;1711;30;286;71;1;59;60m powertraining
Sunday;2026-03-15;;2078;58;321;63;4;63;26m run 11.7km/h
Monday;2026-03-16;;1943;86;226;82;4;34;
Tuesday;2026-03-17;;1732;74;210;63;4;47;52m run 11.7km/h
Wednesday;2026-03-18;;2030;64;298;58;3;55;60m powertraining
Thursday;2026-03-19;;2235;97;133;104;2;60;35m run 11.7km/h
;;;1985;72;248;74;3;51;
;;;2183;79;273;82;4;56;
;;;-0.38;;;;;;
;;;-0.299999999999997;;;;;;
Detailed List;;;;;;;;;
Name;Date;Quantity;KiloCalories;Fat;Carbohydrate;Protein;Salt;Fibre;Hour
Friday;;;;;;;;;
americano;2026-03-13;1x;602;30;49;31;3;6;12
appel;2026-03-13;1x;95;0;25;1;0;4;16
groenedruiven;2026-03-13;250;173;1;45;2;0;2;17
gemengde_sla;2026-03-13;200;34;0;5;2;0;4;19
halvecitroensap_count;2026-03-13;1x;9;0;3;0;0;1;19
feta;2026-03-13;100;297;25;2;17;2;0;19
pompoenpit;2026-03-13;40;242;19;3;12;0;3;19
olijfolie;2026-03-13;10;82;9;0;0;0;0;19
olijf_count;2026-03-13;6x;30;2;1;0;0;1;19
kerstomaat_count;2026-03-13;5x;20;0;5;1;0;1;19
parmigiano;2026-03-13;15;60;5;0;5;0;0;19
zwarte_bonen;2026-03-13;63;67;1;8;5;0;4;19
mango;2026-03-13;1x;135;1;35;1;0;4;20
appel;2026-03-13;1x;95;0;25;1;0;4;21
groenedruiven;2026-03-13;250;173;1;45;2;0;2;22
mandarijn;2026-03-13;1x;50;0;13;1;0;2;23
Saturday;;;;;;;;;
mango;2026-03-14;1x;135;1;35;1;0;4;12
mango;2026-03-14;1x;135;1;35;1;0;4;17
rijstkoek;2026-03-14;15.4;60;0;0;1;0;0;17
banaan;2026-03-14;1x;105;0;27;1;0;3;17
kikkererwten;2026-03-14;220;308;6;39;17;0;16;17
kikkererwten;2026-03-14;220;308;6;39;17;0;16;20
zalm_del_blik;2026-03-14;120;126;3;1;24;1;1;20
banaan;2026-03-14;3x;315;1;81;4;0;9;22
appel;2026-03-14;1x;95;0;25;1;0;4;22
notenmix;2026-03-14;20;124;12;4;3;0;2;22
Sunday;;;;;;;;;
wortelsoep_count;2026-03-15;1x;252;14;26;2;1;10;12
groenedruiven;2026-03-15;500;345;1;90;4;0;5;15
banaan;2026-03-15;2x;210;1;54;3;0;6;17
rijstkoek;2026-03-15;15.4;60;0;0;1;0;0;17
kikkererwten;2026-03-15;220;308;6;39;17;0;16;19
zalm_del_blik;2026-03-15;120;126;3;1;24;1;1;19
notenmix;2026-03-15;30;187;18;5;5;0;3;19
wortelsoep_count;2026-03-15;1x;252;14;26;2;1;10;20
banaan;2026-03-15;1x;105;0;27;1;0;3;21
banaan;2026-03-15;1x;105;0;27;1;0;3;22
appel;2026-03-15;1x;95;0;25;1;0;4;22
cacao;2026-03-15;10;33;1;1;3;0;3;22
monday;;;;;;;;;
banaan;2026-03-16;2x;210;1;54;3;0;6;12
cacao;2026-03-16;10;33;1;1;3;0;3;12
restoSaladMango;2026-03-16;1x;1320;59;135;66;4;16;19
notenmix;2026-03-16;40;249;23;7;7;0;3;21
banaan;2026-03-16;1x;105;0;27;1;0;3;21
cacao;2026-03-16;8;26;1;1;2;0;2;21
Tuesday;;;;;;;;;
wortelsoep_count;2026-03-17;1x;252;14;26;2;1;10;12
banaan;2026-03-17;1x;105;0;27;1;0;3;16
cacao;2026-03-17;5;17;1;1;1;0;2;16
proteine;2026-03-17;30;113;0;1;23;0;2;17
appel;2026-03-17;1x;95;0;25;1;0;4;18
gemengde_sla;2026-03-17;200;34;0;5;2;0;4;19
halvecitroensap_count;2026-03-17;1x;9;0;3;0;0;1;18
feta;2026-03-17;100;297;25;2;17;2;0;19
