Weekly Summary;;;;;;;;;
Day;Date;;KiloCalories;Fat;Carbohydrate;Protein;Salt;Fibre;Activity
Friday;2026-02-13;;2011;84;264;87;9;21;20m bike
Saturday;2026-02-14;;2532;81;86;105;1;4;
Sunday;2026-02-15;;2248;84;146;58;4;18;
Monday;2026-02-16;;2496;45;259;57;4;18;1 hour walk
Tuesday;2026-02-17;;1994;127;154;73;2;23;1 hour walk
Wednesday;2026-02-18;;1441;80;114;54;4;14;
Thursday;2026-02-19;;2144;67;127;90;0;13;2 hour walk
;;Daily Average:;2124;81;164;75;3;16;
;;Adjusted For Underreporting(110%):;2336;89;181;82;4;18;
;;Calculated weight diff:;0;;;;;;
;;Weight Diff:;On Holiday, didn’t weigh!;;;;;;
Detailed List;;;;;;;;;
Name;Date;Quantity;KiloCalories;Fat;Carbohydrate;Protein;Salt;Fibre;Hour
Friday;;;;;;;;;
americano;2026-02-13;1x;602;30;49;31;3;6;12
wortelsoep_1;2026-02-13;1x;99;1;60;5;1;1;12
appel;2026-02-13;2x;190;1;50;1;0;9;16
broodje_kaas_count;2026-02-13;1x;520;22;55;25;3;3;19
broodje_boulet_count;2026-02-13;1x;600;30;50;25;3;2;20
Saturday;;;;;;;;;
appel;2026-02-14;1x;95;0;25;1;0;4;7
schijf_hesp;2026-02-14;1x;28;1;1;1;0;0;11
champagne_count;2026-02-14;2x;180;0;3;0;0;0;11
appel;2026-02-14;1x;90;0;2;0;0;0;12
duvel;2026-02-14;1x;211;0;12;0;0;0;18
duvel;2026-02-14;1x;211;0;12;0;0;0;20
steak;2026-02-14;400;1000;80;0;104;1;0;21
Rode-wijn;2026-02-14;2x;256;0;8;0;0;0;21
duvel;2026-02-14;1x;211;0;12;0;0;0;22
westmalle;2026-02-14;1x;250;0;12;0;0;0;23
Sunday;;;;;;;;;
appel;2026-02-15;1x;95;0;25;1;0;4;9
ei_count;2026-02-15;1x;70;5;0;6;0;0;11
danone_grecque;2026-02-15;110;106;8;5;4;0;0;11
framboos_count;2026-02-15;15X;30;0;15;1;0;3;11
bosbes_count;2026-02-15;5x;5;0;1;0;0;0;11
danone_grecque;2026-02-15;1x;96;7;5;4;0;0;16
bosbes_count;2026-02-15;30x;30;0;6;0;0;2;17
framboos_count;2026-02-15;10x;20;0;10;1;0;2;18
westmalle;2026-02-15;1x;250;0;12;0;0;0;19
Rode-wijn;2026-02-15;2x;256;0;8;0;0;0;20
tomatensoep_1;2026-02-15;1x;188;16;8;4;1;3;20
ceasar_restaurant;2026-02-15;1x;680;48;27;38;3;4;20
duvel;2026-02-15;1x;211;0;12;0;0;0;21
duvel;2026-02-15;1x;211;0;12;0;0;0;22
Monday;;;;;;;;;
bruschetta_count;2026-02-16;5x;550;15;85;15;1;10;11
jupiler;2026-02-16;1x;105;0;9;0;0;0;15
jupiler;2026-02-16;1x;105;0;9;0;0;0;16
jupiler;2026-02-16;1x;105;0;9;0;0;0;17
jupiler;2026-02-16;1x;105;0;9;0;0;0;18
bolognese_count;2026-02-16;1x;750;30;90;40;3;8;19
duvel;2026-02-16;1x;211;0;12;0;0;0;19
duvel;2026-02-16;1x;211;0;12;0;0;0;20
duvel;2026-02-16;1x;211;0;12;0;0;0;21
stella33cl;2026-02-16;1x;143;0;12;2;0;0;22
Tuesday;;;;;;;;;
appel;2026-02-17;1x;95;0;25;1;0;4;8
varkenswangen_count;2026-02-17;1x;533;55;1;21;0;0;12
raviolie_oberge;2026-02-17;1x;800;45;85;30;1;7;12
rucola;2026-02-17;30;11;0;1;1;0;0;20
veldsla;2026-02-17;50;15;0;2;1;0;1;20
tomaat_count;2026-02-17;2x;44;0;10;2;0;3;20
sesamzaad;2026-02-17;20;126;11;1;5;0;1;20
pijnboompitten;2026-02-17;10;70;7;1;1;0;0;20
parmigiano;2026-02-17;25;101;8;0;8;0;0;20
rijstkoek;2026-02-17;22.2;86;1;0;2;0;1;22
appel;2026-02-17;1x;95;0;25;1;0;4;22
bosbes_count;2026-02-17;20x;20;0;4;0;0;1;
Wednesday;;;;;;;;;
kristelsoep;2026-02-18;1x;250;15;10;5;1;3;14
notenmix;2026-02-18;50;311;29;9;8;0;4;15
kip_curry;2026-02-18;1x;800;35;85;40;3;4;19
bosbes_count;2026-02-18;50x;50;0;10;1;0;3;22
rijstkoek;2026-02-18;7.7;30;0;0;1;0;0;22
Thursday;;;;;;;;;
steak;2026-02-19;300;750;60;0;78;0;0;13
coctail;2026-02-19;1x;100;0;0;5;0;0;16
pepaya;2026-02-19;150;65;0;17;1;0;3;18
mango;2026-02-19;1x;135;1;35;1;0;4;18
bosbes_count;2026-02-19;50x;50;0;10;1;0;3;22
framboos_count;2026-02-19;15X;30;0;15;1;0;3;22
Rode-wijn;2026-02-19;1x;128;0;4;0;0;0;18
notenmix;2026-02-19;10;62;6;2;2;0;1;19
jupiler;2026-02-19;1x;105;0;9;0;0;0;19
delirium;2026-02-19;1x;208;0;12;0;0;0;20
duvel;2026-02-19;1x;211;0;12;0;0;0;21
duvel;2026-02-19;1x;211;0;12;0;0;0;22
rijstkoek;2026-02-19;23.1;89;1;0;2;0;1;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
