Weekly Summary;;;;;;;;;
Day;Date;;KiloCalories;Fat;Carbohydrate;Protein;Salt;Fibre;Activity
Friday;2026-05-29;;2413;22;376;147;1;116;60m powertraining
Saturday;2026-05-30;;3296;125;263;139;7;18;45m run 11.6km/h
Sunday;2026-05-31;;2383;30;242;139;1;103;60m powertraining
Monday;2026-06-01;;1691;12;183;141;1;85;52m run 11.6km/h
Tuesday;2026-06-02;;1790;13;182;113;1;84;55m powertraining
Wednesday;2026-06-03;;1729;70;159;101;5;49;52m run 11.6km/h
Thursday;2026-06-04;;1365;9;111;96;1;54;50m powertraining
;;Daily Average:;2095;40;217;125;2;73;
;;Adjusted For Underreporting(110%):;2305;44;238;137;2;80;
;;Calculated weight diff:;-0.27;;;;;;
;;Weight Diff:;0.5;;;;;;
Detailed List;;;;;;;;;
Name;Date;Quantity;KiloCalories;Fat;Carbohydrate;Protein;Salt;Fibre;Hour
Friday;;;;;;;;;
rode_bonen;2026-05-29;240;245;2;36;20;0;16;12
rode_bonen;2026-05-29;240;245;2;36;20;0;16;14
rijstkoek;2026-05-29;15.4;60;0;0;1;0;0;17
appel;2026-05-29;1x;95;0;25;1;0;4;15
mandarijn;2026-05-29;1x;50;0;13;1;0;2;15
proteine;2026-05-29;35;131;0;1;26;0;3;17
rode_bonen;2026-05-29;240;245;2;36;20;0;16;19
rijstkoek;2026-05-29;15.4;60;0;0;1;0;0;19
mandarijn;2026-05-29;1x;50;0;13;1;0;2;19
rode_bonen;2026-05-29;240;245;2;36;20;0;16;20
rijstkoek;2026-05-29;15.4;60;0;0;1;0;0;20
provital_sesam_count;2026-05-29;1x;124;8;4;9;0;3;20
appel;2026-05-29;2x;190;1;50;1;0;9;20
mandarijn;2026-05-29;2x;100;1;26;2;0;3;21
appel;2026-05-29;1x;95;0;25;1;0;4;21
rode_bonen;2026-05-29;240;245;2;36;20;0;16;22
rijstkoek;2026-05-29;7.7;30;0;0;1;0;0;22
appel;2026-05-29;1x;95;0;25;1;0;4;22
mandarijn;2026-05-29;1x;50;0;13;1;0;2;22
Saturday;;;;;;;;;
proteine;2026-05-30;53;199;1;2;40;0;4;10
rijst;2026-05-30;400;520;1;113;11;0;2;12
pad prik gaeng moo krob;2026-05-30;0.5x;850;60;18;35;3;4;12
rijstkoek;2026-05-30;15.4;60;0;0;1;0;0;15
rijstkoek;2026-05-30;15.4;60;0;0;1;0;0;17
pad prik gaeng moo krob;2026-05-30;0.5x;850;60;18;35;3;4;19
rijst;2026-05-30;400;520;1;113;11;0;2;19
rijstkoek;2026-05-30;61.6;238;2;0;5;0;2;22
Sunday;;;;;;;;;
rijstkoek;2026-05-31;7.7;30;0;0;1;0;0;9
rijstkoek;2026-05-31;7.7;30;0;0;1;0;0;10
rode_bonen;2026-05-31;240;245;2;36;20;0;16;12
rijstkoek;2026-05-31;7.7;30;0;0;1;0;0;12
generic_nacho;2026-05-31;35;168;8;21;2;0;1;13
notenmix;2026-05-31;10;62;6;2;2;0;1;13
rijstkoek;2026-05-31;15.4;60;0;0;1;0;0;14
rode_bonen;2026-05-31;240;245;2;36;20;0;16;15
rijstkoek;2026-05-31;23;89;1;0;2;0;1;15
rode_bonen;2026-05-31;240;245;2;36;20;0;16;17
rijstkoek;2026-05-31;23;89;1;0;2;0;1;17
rode_bonen;2026-05-31;240;245;2;36;20;0;16;18
rijstkoek;2026-05-31;23;89;1;0;2;0;1;18
rode_bonen;2026-05-31;240;245;2;36;20;0;16;20
rijstkoek;2026-05-31;23;89;1;0;2;0;1;20
rode_bonen;2026-05-31;240;245;2;36;20;0;16;22
rijstkoek;2026-05-31;46.2;179;1;0;4;0;1;22
Monday;;;;;;;;;
rode_bonen;2026-06-01;240;245;2;36;20;0;16;12
rijstkoek;2026-06-01;15.4;60;0;0;1;0;0;12
rode_bonen;2026-06-01;240;245;2;36;20;0;16;15
rijstkoek;2026-06-01;15.4;60;0;0;1;0;0;15
proteine;2026-06-01;45;169;1;2;34;0;4;17
rode_bonen;2026-06-01;240;245;2;36;20;0;16;19
rijstkoek;2026-06-01;15.4;60;0;0;1;0;0;19
rode_bonen;2026-06-01;240;245;2;36;20;0;16;21
rijstkoek;2026-06-01;30.8;119;1;0;2;0;1;21
rode_bonen;2026-06-01;240;245;2;36;20;0;16;21
Tuesday;;;;;;;;;
rode_bonen;2026-06-02;240;245;2;36;20;0;16;12
rijstkoek;2026-06-02;7.7;30;0;0;1;0;0;12
rijstkoek;2026-06-02;7.7;30;0;0;1;0;0;16
rode_bonen;2026-06-02;240;245;2;36;20;0;16;17
rijstkoek;2026-06-02;7.7;30;0;0;1;0;0;17
rode_bonen;2026-06-02;240;245;2;36;20;0;16;18
rijstkoek;2026-06-02;23.1;89;1;0;2;0;1;18
rode_bonen;2026-06-02;240;245;2;36;20;0;16;20
rijstkoek;2026-06-02;38.5;149;1;0;3;0;1;20
rode_bonen;2026-06-02;240;245;2;36;20;0;16;21
rijstkoek;2026-06-02;30.8;119;1;0;2;0;1;21
rijstkoek;2026-06-02;30.8;119;1;0;2;0;1;22
Wednesday;;;;;;;;;
rode_bonen;2026-06-03;240;245;2;36;20;0;16;12
rijstkoek;2026-06-03;7.7;30;0;0;1;0;0;16
proteine;2026-06-03;45;169;1;2;34;0;4;17
bosbes;2026-06-03;300;156;1;33;2;0;7;19
kabeljouwschotel;2026-06-03;1x;1100;66;88;44;4;22;19
rijstkoek;2026-06-03;7.7;30;0;0;1;0;0;22
Thursday;;;;;;;;;
rode_bonen;2026-06-04;240;245;2;36;20;0;16;12
rijstkoek;2026-06-04;7.7;30;0;0;1;0;0;16
proteine;2026-06-04;33;124;0;1;25;0;3;17
rijstkoek;2026-06-04;30.8;119;1;0;2;0;1;18
rode_bonen;2026-06-04;240;245;2;36;20;0;16;19
rijstkoek;2026-06-04;38.5;149;1;0;3;0;1;19
rode_bonen;2026-06-04;240;245;2;36;20;0;16;21
rijstkoek;2026-06-04;53.9;209;1;0;4;0;2;22
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
