Weekly Summary;;;;;;;;;
Day;Date;;KiloCalories;Fat;Carbohydrate;Protein;Salt;Fibre;Activity
Friday;2026-03-20;;2184;108;247;71;4;49;60m powertraining
Saturday;2026-03-21;;5113;258;342;122;5;48;60m powertraining
Sunday;2026-03-22;;1600;61;181;85;4;42;40m run 11.7km/h
Monday;2026-03-23;;285;1;36;31;0;7;
Tuesday;2026-03-24;;1595;14;274;76;2;49;60m powertraining
Wednesday;2026-03-25;;1810;14;312;91;2;58;52m run 11.7km/h
Thursday;2026-03-26;;2060;15;388;62;1;57;60m powertraining
;;Daily Average:;2093;67;255;77;2;44;
;;Adjusted For Underreporting(110%):;2302;74;280;85;3;49;
;;Calculated weight diff:;-0.27;;;;;;
;;Weight Diff:;-1.2;;;;;;
Detailed List;;;;;;;;;
Name;Date;Quantity;KiloCalories;Fat;Carbohydrate;Protein;Salt;Fibre;Hour
Friday;;;;;;;;;
banaan;2026-03-20;1x;105;0;27;1;0;3;11
mango;2026-03-20;1x;135;1;35;1;0;4;12
bosbes;2026-03-20;73;38;0;8;1;0;2;12
pijnboompitten;2026-03-20;40;279;27;2;6;0;1;14
gemengde_sla;2026-03-20;200;34;0;5;2;0;4;18
halvecitroensap_count;2026-03-20;1x;9;0;3;0;0;1;18
feta;2026-03-20;150;446;38;2;26;3;0;18
pompoenpit;2026-03-20;40;242;19;3;12;0;3;18
olijfolie;2026-03-20;10;82;9;0;0;0;0;18
olijf_count;2026-03-20;7x;35;3;1;0;0;1;18
kerstomaat_count;2026-03-20;7x;28;0;6;1;0;1;18
parmigiano;2026-03-20;20;80;6;0;6;0;0;18
zwarte_bonen;2026-03-20;63;67;1;8;5;0;4;18
banaan;2026-03-20;1x;105;0;27;1;0;3;20
cacao;2026-03-20;5;17;1;1;1;0;2;20
mandarijn;2026-03-20;1x;50;0;13;1;0;2;20
banaan;2026-03-20;1x;105;0;27;1;0;3;21
cacao;2026-03-20;5;17;1;1;1;0;2;21
banaan;2026-03-20;1x;105;0;27;1;0;3;21
cacao;2026-03-20;5;17;1;1;1;0;2;21
appel;2026-03-20;2x;190;1;50;1;0;9;21
Saturday;;;;;;;;;
mango;2026-03-21;1x;135;1;35;1;0;4;11
mandarijn;2026-03-21;2x;100;1;26;2;0;3;13
zonnebloem;2026-03-21;30;194;17;4;5;0;2;13
banaan;2026-03-21;2x;210;1;54;3;0;6;15
5 gangen menu;2026-03-21;1x;950;60;85;55;5;9;19
Rode-wijn;2026-03-21;4x;512;0;16;1;0;0;23
olijf_count;2026-03-21;10x;50;4;2;0;1;1;23
notenmix;2026-03-21;200;1245;117;37;33;0;17;23
mnm;2026-03-21;220;1153;57;22;21;0;0;23
duvel;2026-03-21;1x;211;0;12;0;0;0;23
delirium;2026-03-21;1x;208;0;12;0;0;0;23
mandarijn;2026-03-21;1x;50;0;13;1;0;2;23
appel;2026-03-21;1x;95;0;25;1;0;4;23
Sunday;;;;;;;;;
proteine;2026-03-22;50;188;1;2;38;0;4;16
gemengde_sla;2026-03-22;200;34;0;5;2;0;4;18
halvecitroensap_count;2026-03-22;2x;18;0;6;0;0;2;18
feta;2026-03-22;107;318;27;2;18;2;0;18
zonnebloem;2026-03-22;18;116;10;2;3;0;1;18
olijfolie;2026-03-22;10;82;9;0;0;0;0;18
olijf_count;2026-03-22;14x;70;6;3;0;1;1;18
kerstomaat_count;2026-03-22;20x;80;0;18;4;0;4;18
parmigiano;2026-03-22;15;60;5;0;5;0;0;18
zwarte_bonen;2026-03-22;65;69;1;8;5;0;5;18
appel;2026-03-22;1x;95;0;25;1;0;4;21
banaan;2026-03-22;4x;420;2;108;5;0;12;21
cacao;2026-03-22;15;50;2;2;4;0;5;21
Monday;;;;;;;;;
mango;2026-03-23;1x;135;1;35;1;0;4;21
proteine;2026-03-23;40;150;1;1;30;0;3;21
Tuesday;;;;;;;;;
banaan;2026-03-24;1x;105;0;27;1;0;3;8
rijstkoek;2026-03-24;15.4;60;0;0;1;0;0;11
mango;2026-03-24;1x;135;1;35;1;0;4;12
banaan;2026-03-24;1x;105;0;27;1;0;3;16
proteine;2026-03-24;30;113;0;1;23;0;2;17
zalm_del_blik;2026-03-24;120;126;3;1;24;1;1;19
kikkererwten;2026-03-24;220;308;6;39;17;0;16;19
appel;2026-03-24;1x;95;0;25;1;0;4;20
banaan;2026-03-24;1x;105;0;27;1;0;3;21
banaan;2026-03-24;1x;105;0;27;1;0;3;21
appel;2026-03-24;1x;95;0;25;1;0;4;21
banaan;2026-03-24;1x;105;0;27;1;0;3;22
rijstkoek;2026-03-24;7.7;30;0;0;1;0;0;22
mandarijn;2026-03-24;1x;50;0;13;1;0;2;22
rijstkoek;2026-03-24;15.4;60;0;0;1;0;0;22
Wednesday;;;;;;;;;
banaan;2026-03-25;1x;105;0;27;1;0;3;9
mango;2026-03-25;1x;135;1;35;1;0;4;12
banaan;2026-03-25;1x;105;0;27;1;0;3;15
appel;2026-03-25;1x;95;0;25;1;0;4;15
proteine;2026-03-25;50;188;1;2;38;0;4;17
zalm_del_blik;2026-03-25;120;126;3;1;24;1;1;18
kikkererwten;2026-03-25;220;308;6;39;17;0;16;18
appel;2026-03-25;2x;190;1;50;1;0;9;20
rijstkoek;2026-03-25;15.4;60;0;0;1;0;0;20
banaan;2026-03-25;2x;210;1;54;3;0;6;21
rijstkoek;2026-03-25;15.4;60;0;0;1;0;0;21
banaan;2026-03-25;1x;105;0;27;1;0;3;21
appel;2026-03-25;1x;95;0;25;1;0;4;21
rijstkoek;2026-03-25;7.7;30;0;0;1;0;0;21
Thursday;;;;;;;;;
banaan;2026-03-26;1x;105;0;27;1;0;3;9
mango;2026-03-26;0.5x;68;0;18;1;0;2;12
appel;2026-03-26;1x;95;0;25;1;0;4;12
nectarine_count;2026-03-26;1x;60;0;15;1;0;2;12
banaan;2026-03-26;2x;210;1;54;3;0;6;12
pruim_count;2026-03-26;1x;30;0;8;1;0;1;13
rijstkoek;2026-03-26;23.1;89;1;0;2;0;1;15
appel;2026-03-26;1x;95;0;25;1;0;4;15
rijstkoek;2026-03-26;15.4;60;0;0;1;0;0;15
pruim_count;2026-03-26;1x;30;0;8;1;0;1;15
appel;2026-03-26;1x;95;0;25;1;0;4;17
notenmix;2026-03-26;10;62;6;2;2;0;1;17
proteine;2026-03-26;50;188;1;2;38;0;4;17
mango;2026-03-26;1x;135;1;35;1;0;4;19
nectarine_count;2026-03-26;1x;60;0;15;1;0;2;19
banaan;2026-03-26;2x;210;1;54;3;0;6;19
pruim_count;2026-03-26;1x;30;0;8;1;0;1;19
banaan;2026-03-26;2x;210;1;54;3;0;6;21
rijstkoek;2026-03-26;15.4;60;0;0;1;0;0;21
rijstkoek;2026-03-26;30.8;119;1;0;2;0;1;22
mandarijn;2026-03-26;1x;50;0;13;1;0;2;22
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
